temperatur,sonnenschein,bewölkung,windgeschwindigkeit,niederschlag
22.8,13.8,4,5.6,0
24.5,14.4,2,6.4,0
24.8,14.8,0.666666667,9.3,0
25.5,15,3,10.1,0
27.2,14.6,4.666666667,7.7,0
26.5,13,4.666666667,22,0
28.7,11.4,4,8.3,0
23.9,3,7.666666667,23.6,13.3
19.8,9.1,4,19.7,3
19.3,12,4.333333333,12.3,0
19.6,15,1.666666667,6.3,0
23.2,13,6,13,0.5
22.3,3.4,9.333333333,17.2,0.8
21.3,2,8.666666667,11.1,2
24.4,6.8,5,10.1,0
24.7,14.8,1.666666667,7.9,0
28.0,13.8,2.666666667,11.9,0.2
29.1,8.2,5,10,0
29.7,12.1,4.666666667,23.6,1.3
27.1,8.8,5.333333333,14.6,0
27.6,12,5.333333333,7.3,0
29.7,14.5,0.333333333,10.3,0
29.2,7.2,7,11.9,0.1
27.6,12.9,5,9.3,0
26.9,1.2,8,19.7,1.8
21.2,11,4,12.6,0.1
20.8,4,7.666666667,16,5.4
20.7,4,7.666666667,10.1,4.4
18.6,2.7,8.666666667,10.9,1.4
20.4,10.2,6.666666667,10.6,0
21.4,11.6,6.333333333,8.6,0